,corpus,arch,seed,validation_loss,validation_ppl,test_loss,test_ppl,blimp_benchmark,blimp_acc,filter_target,z_validation_ppl,z_validation_loss,z_test_ppl,z_test_loss,full_same_seed_acc,blimp_delta_same_seed,full_all_seed_avg_acc,blimp_delta_all_seed_avg,field,linguistics_term,corpus_tokens
0,full,transformer,0,3.84175205,46.60706096,3.8451736,46.76680224,adjunct_island,0.726,False,-1.0886681477172462,-1.0960125644552852,-1.089432754826274,-1.09679811191803,0.726,0.0,0.7054,0.0206,syntax,island_effects,66442068
1,full,transformer,1,3.84052324,46.54982494,3.84415555,46.71921565,adjunct_island,0.654,False,-1.1060738869355957,-1.114755771475282,-1.1039222029788773,-1.1123950108859235,0.654,0.0,0.7054,-0.0514,syntax,island_effects,66442068
2,full,transformer,2,3.84004974,46.52778884,3.84355068,46.69096524,adjunct_island,0.668,False,-1.1127751671781687,-1.1219781317457613,-1.11252405595857,-1.121661840883185,0.668,0.0,0.7054,-0.0374,syntax,island_effects,66442068
3,full,transformer,3,3.84151149,46.59585031,3.84473538,46.74631289,adjunct_island,0.814,False,-1.0920773583920647,-1.0996818590417037,-1.0956714740643105,-1.1035118028621977,0.814,0.0,0.7054,0.1086,syntax,island_effects,66442068
4,full,transformer,4,3.8422842,46.63186952,3.84604287,46.80747308,adjunct_island,0.665,False,-1.0811237495263366,-1.0878956077120254,-1.0770490553953431,-1.0834805770564602,0.665,0.0,0.7054,-0.0404,syntax,island_effects,66442068
5,full,lstm,0,3.97258902,53.12188637,3.97531843,53.26707614,adjunct_island,0.65,False,0.8925204838392753,0.8996616362582169,0.8898093310592872,0.8970683629151509,0.65,0.0,0.661,-0.011,syntax,island_effects,66442068
6,full,lstm,1,3.96926308,52.94549969,3.97235751,53.10958984,adjunct_island,0.599,False,0.8388804761365979,0.8489306184799789,0.8418569650966155,0.8517059837667582,0.599,0.0,0.661,-0.062,syntax,island_effects,66442068
7,full,lstm,2,3.97380352,53.18644232,3.97683525,53.34793396,adjunct_island,0.662,False,0.9121522477301405,0.9181865708907354,0.9144294013484724,0.9203066010100212,0.662,0.0,0.661,0.001,syntax,island_effects,66442068
8,full,lstm,3,3.97032976,53.00200598,3.97362685,53.1770468,adjunct_island,0.647,False,0.8560643010764958,0.8652008344320633,0.8623966617727665,0.8711527375960463,0.647,0.0,0.661,-0.014,syntax,island_effects,66442068
9,full,lstm,4,3.9723103,53.10708276,3.97531462,53.26687294,adjunct_island,0.747,False,0.8880186373595552,0.8954102819718668,0.8897474595138659,0.8970099923193319,0.747,0.0,0.661,0.086,syntax,island_effects,66442068
10,pp-mod-subj,transformer,0,3.89595914,49.20322346,3.89895344,49.35077342,adjunct_island,0.661,False,-0.29916308703238065,-0.2691844056500591,-0.3026498304680583,-0.2728712605948332,0.726,-0.065,0.7054,-0.0444,syntax,island_effects,63650020
11,pp-mod-subj,transformer,1,3.89506149,49.1590762,3.89844275,49.32557678,adjunct_island,0.716,False,-0.31258847361175196,-0.28287638389039027,-0.31032185338249524,-0.2806952184887628,0.654,0.062,0.7054,0.0106,syntax,island_effects,63650020
12,pp-mod-subj,transformer,2,3.89368844,49.09162453,3.8970449,49.25667528,adjunct_island,0.764,False,-0.3331008393887974,-0.30381970336109654,-0.3313013921955651,-0.3021107925983576,0.668,0.096,0.7054,0.0586,syntax,island_effects,63650020
13,pp-mod-subj,transformer,3,3.89362502,49.08851127,3.89713025,49.2608797,adjunct_island,0.713,False,-0.33404759619821406,-0.30478705729637434,-0.33002120536978746,-0.30080319932994287,0.814,-0.101,0.7054,0.0076,syntax,island_effects,63650020
14,pp-mod-subj,transformer,4,3.89642024,49.22591638,3.8997159,49.38841588,adjunct_island,0.703,False,-0.29226206478060707,-0.2621511842757888,-0.29118823020406776,-0.26119009406366245,0.665,0.038,0.7054,-0.0024,syntax,island_effects,63650020
15,pp-mod-subj,lstm,0,4.02145243,55.78206639,4.02402306,55.92564586,adjunct_island,0.663,False,1.701493569354056,1.6449819130567882,1.6993064628778396,1.6432411377088496,0.65,0.013,0.661,0.002,syntax,island_effects,63650020
16,pp-mod-subj,lstm,1,4.02435923,55.94444956,4.02710199,56.09810279,adjunct_island,0.782,False,1.7508750446989372,1.6893197310804995,1.7518171753662182,1.6904114732908178,0.599,0.183,0.661,0.121,syntax,island_effects,63650020
17,pp-mod-subj,lstm,2,4.02442884,55.94834445,4.02688694,56.08603999,adjunct_island,0.585,False,1.752059498817587,1.690381501932508,1.7481442222259496,1.6871168285061287,0.662,-0.077,0.661,-0.076,syntax,island_effects,63650020
18,pp-mod-subj,lstm,3,4.02361012,55.90255664,4.02633667,56.05518601,adjunct_island,0.674,False,1.738135213372174,1.677893453779086,1.738749618756536,1.6786864905118652,0.647,0.027,0.661,0.013,syntax,island_effects,63650020
19,pp-mod-subj,lstm,4,4.02355433,55.89943793,4.02675295,56.07852545,adjunct_island,0.698,False,1.737186799192472,1.6770424812775198,1.7458561503611507,1.6850640526181953,0.747,-0.049,0.661,0.037,syntax,island_effects,63650020
